,RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
15883,308,379,ALG,SAADANE Rabah (ALG),N,12,Tedj BENSAOULA
15884,308,379,NIR,BINGHAM Billy (NIR),N,14,Gerry ARMSTRONG
15885,308,379,ALG,SAADANE Rabah (ALG),N,13,Rachid HARKOUK
15886,308,379,NIR,BINGHAM Billy (NIR),N,16,Paul RAMSEY
15887,308,379,ALG,SAADANE Rabah (ALG),N,15,Abdelhamid SADMI
15888,308,379,NIR,BINGHAM Billy (NIR),N,17,Colin CLARKE
15889,308,379,ALG,SAADANE Rabah (ALG),N,17,Fawzi BENKHALIDI
15890,308,379,NIR,BINGHAM Billy (NIR),N,18,John McCLELLAND
15891,308,379,ALG,SAADANE Rabah (ALG),N,19,Mohamed CHAIB
15892,308,379,NIR,BINGHAM Billy (NIR),N,20,Bernard McNALLY
15893,308,379,ALG,SAADANE Rabah (ALG),N,20,Fadil MEGHARIA
15894,308,379,NIR,BINGHAM Billy (NIR),N,21,David CAMPBELL
15895,308,379,ALG,SAADANE Rabah (ALG),N,22,Mourad AMARA
15896,308,379,NIR,BINGHAM Billy (NIR),N,22,Mark CAUGHEY
15897,308,428,BEL,THYS Guy (BEL),S,1,Jean Marie PFAFF
15898,308,428,MEX,MILUTINOVIC Bora (YUG),S,1,Pablo LARIOS
15899,308,428,BEL,THYS Guy (BEL),S,2,Eric GERETS
15900,308,428,MEX,MILUTINOVIC Bora (YUG),S,2,Mario TREJO
15901,308,428,BEL,THYS Guy (BEL),S,3,Franky VAN DER ELST
15902,308,428,MEX,MILUTINOVIC Bora (YUG),S,3,Fernando QUIRARTE
15903,308,428,BEL,THYS Guy (BEL),S,4,Michel DE WOLF
15904,308,428,MEX,MILUTINOVIC Bora (YUG),S,9,Hugo S�NCHEZ
15905,308,428,BEL,THYS Guy (BEL),S,6,Frank VERCAUTEREN
15906,308,428,MEX,MILUTINOVIC Bora (YUG),S,10,Tomas BOY
15907,308,428,BEL,THYS Guy (BEL),S,7,Rene VANDEREYCKEN
15908,308,428,MEX,MILUTINOVIC Bora (YUG),S,13,Javier AGUIRRE
15909,308,428,BEL,THYS Guy (BEL),S,8,Enzo SCIFO
15910,308,428,MEX,MILUTINOVIC Bora (YUG),S,14,Felix CRUZ
15911,308,428,BEL,THYS Guy (BEL),S,9,Erwin VANDENBERGH
15912,308,428,MEX,MILUTINOVIC Bora (YUG),S,15,Luis FLORES
15913,308,428,BEL,THYS Guy (BEL),S,10,Philippe DESMET
15914,308,428,MEX,MILUTINOVIC Bora (YUG),S,16,Carlos MUNOZ
15915,308,428,BEL,THYS Guy (BEL),S,11,Jan CEULEMANS
15916,308,428,MEX,MILUTINOVIC Bora (YUG),S,17,Raul SERVIN
15917,308,428,BEL,THYS Guy (BEL),S,19,Hugo BROOS
15918,308,428,MEX,MILUTINOVIC Bora (YUG),S,22,Manuel NEGRETE
15919,308,428,BEL,THYS Guy (BEL),N,5,Michel RENQUIN
15920,308,428,MEX,MILUTINOVIC Bora (YUG),N,4,Armando MANZO
15921,308,428,BEL,THYS Guy (BEL),N,12,Jacques MUNARON
15922,308,428,MEX,MILUTINOVIC Bora (YUG),N,5,Francisco CRUZ
15923,308,428,BEL,THYS Guy (BEL),N,13,Georges GRUN
15924,308,428,MEX,MILUTINOVIC Bora (YUG),N,6,Carlos DE LOS COBOS
15925,308,428,BEL,THYS Guy (BEL),N,14,Leo CLIJSTERS
15926,308,428,MEX,MILUTINOVIC Bora (YUG),N,7,Miguel ESPANA
15927,308,428,BEL,THYS Guy (BEL),N,15,Leo VAN DER ELST
15928,308,428,MEX,MILUTINOVIC Bora (YUG),N,8,Alejandro DOMINGUEZ
15929,308,428,BEL,THYS Guy (BEL),N,16,Nico CLAESEN
15930,308,428,MEX,MILUTINOVIC Bora (YUG),N,11,Carlos HERMOSILLO
15931,308,428,BEL,THYS Guy (BEL),N,17,Raymond MOMMENS
15932,308,428,MEX,MILUTINOVIC Bora (YUG),N,12,Ignacio RODRIGUEZ
15933,308,428,BEL,THYS Guy (BEL),N,18,Daniel VEYT
15934,308,428,MEX,MILUTINOVIC Bora (YUG),N,18,Rafael AMADOR
15935,308,428,BEL,THYS Guy (BEL),N,20,Gilbert BODART
15936,308,428,MEX,MILUTINOVIC Bora (YUG),N,19,Javier HERNANDEZ
15937,308,428,BEL,THYS Guy (BEL),N,21,Stephane DEMOL
15938,308,428,MEX,MILUTINOVIC Bora (YUG),N,20,Olaf HEREDIA
15939,308,428,BEL,THYS Guy (BEL),N,22,Patrick VERVOORT
15940,308,428,MEX,MILUTINOVIC Bora (YUG),N,21,Cristobal ORTEGA
15941,308,538,POR,JOSE TORRES (POR),S,1,BENTO
15942,308,538,ENG,ROBSON Bobby (ENG),S,1,Peter SHILTON
15943,308,538,POR,JOSE TORRES (POR),S,3,ANTONIO SOUSA
15944,308,538,ENG,ROBSON Bobby (ENG),S,2,Gary STEVENS
15945,308,538,POR,JOSE TORRES (POR),S,5,ALVARO
15946,308,538,ENG,ROBSON Bobby (ENG),S,3,Kenny SANSOM
15947,308,538,POR,JOSE TORRES (POR),S,6,CARLOS MANUEL
15948,308,538,ENG,ROBSON Bobby (ENG),S,4,Glenn HODDLE
15949,308,538,POR,JOSE TORRES (POR),S,7,PACHECO
15950,308,538,ENG,ROBSON Bobby (ENG),S,6,Terry BUTCHER
15951,308,538,POR,JOSE TORRES (POR),S,8,FREDERICO
15952,308,538,ENG,ROBSON Bobby (ENG),S,7,Bryan ROBSON
15953,308,538,POR,JOSE TORRES (POR),S,9,GOMES
15954,308,538,ENG,ROBSON Bobby (ENG),S,8,Ray WILKINS
15955,308,538,POR,JOSE TORRES (POR),S,15,OLIVEIRA
15956,308,538,ENG,ROBSON Bobby (ENG),S,9,Mark HATELEY
15957,308,538,POR,JOSE TORRES (POR),S,17,DIAMANTINO
15958,308,538,ENG,ROBSON Bobby (ENG),S,10,Gary LINEKER
15959,308,538,POR,JOSE TORRES (POR),S,20,INACIO
15960,308,538,ENG,ROBSON Bobby (ENG),S,11,Chris WADDLE
15961,308,538,POR,JOSE TORRES (POR),S,21,ANDRE
15962,308,538,ENG,ROBSON Bobby (ENG),S,14,Terry FENWICK
15963,308,538,POR,JOSE TORRES (POR),N,2,JOAO PINTO
15964,308,538,ENG,ROBSON Bobby (ENG),N,5,Alvin MARTIN
15965,308,538,POR,JOSE TORRES (POR),N,4,RIBEIRO
15966,308,538,ENG,ROBSON Bobby (ENG),N,12,Viv ANDERSON
15967,308,538,POR,JOSE TORRES (POR),N,10,FUTRE
15968,308,538,ENG,ROBSON Bobby (ENG),N,13,Chris WOODS
15969,308,538,POR,JOSE TORRES (POR),N,11,BANDEIRINHA
15970,308,538,ENG,ROBSON Bobby (ENG),N,15,Gary A. STEVENS
15971,308,538,POR,JOSE TORRES (POR),N,12,JORGE MARTINS
15972,308,538,ENG,ROBSON Bobby (ENG),N,16,Peter REID
15973,308,538,POR,JOSE TORRES (POR),N,13,MORATO
15974,308,538,ENG,ROBSON Bobby (ENG),N,17,Trevor STEVEN
15975,308,538,POR,JOSE TORRES (POR),N,14,JAIME MAGALHAES
15976,308,538,ENG,ROBSON Bobby (ENG),N,18,Steve HODGE
15977,308,538,POR,JOSE TORRES (POR),N,16,JOSE ANTONIO
15978,308,538,ENG,ROBSON Bobby (ENG),N,19,John BARNES
15979,308,538,POR,JOSE TORRES (POR),N,18,SOBRINHO
15980,308,538,ENG,ROBSON Bobby (ENG),N,20,Peter BEARDSLEY
15981,308,538,POR,JOSE TORRES (POR),N,19,RUI AGUAS
15982,308,538,ENG,ROBSON Bobby (ENG),N,21,Kerry DIXON
15983,308,538,POR,JOSE TORRES (POR),N,22,DAMAS
15984,308,538,ENG,ROBSON Bobby (ENG),N,22,Gary BAILEY
15985,308,628,PAR,RE Cayetano (PAR),S,1,Roberto FERNANDEZ
15986,308,628,IRQ,EVARISTO (BRA),S,1,HAMMOUDI RAAD
15987,308,628,PAR,RE Cayetano (PAR),S,2,Juan TORALES
15988,308,628,IRQ,EVARISTO (BRA),S,3,KHALIL MOHAMED
15989,308,628,PAR,RE Cayetano (PAR),S,3,Cesar ZABALA
15990,308,628,IRQ,EVARISTO (BRA),S,4,SHAKER NADHUM
15991,308,628,PAR,RE Cayetano (PAR),S,4,Vladimiro SCHETTINA
15992,308,628,IRQ,EVARISTO (BRA),S,5,SHAKER SAMIR
