,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Position_x,Country_x,Image_x,Position_y,Country_y,Image_y
294,2010,Germany,4,1,England, ,6.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,8.0,England,https://api.fifa.com/api/v1/picture/flags-sq-4/eng
295,2010,Argentina,3,1,Mexico, ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,17.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
296,2010,Netherlands,2,1,Slovakia, ,4.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,34.0,Slovakia,https://api.fifa.com/api/v1/picture/flags-sq-4/svk
297,2010,Brazil,3,0,Chile, ,1.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,18.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
298,2010,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3) ,31.0,Paraguay,https://api.fifa.com/api/v1/picture/flags-sq-4/par,45.0,Japan,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn
299,2010,Spain,1,0,Portugal, ,2.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,3.0,Portugal,https://api.fifa.com/api/v1/picture/flags-sq-4/por
300,2010,Netherlands,2,1,Brazil, ,4.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,1.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra
301,2010,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2) ,16.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,32.0,Ghana,https://api.fifa.com/api/v1/picture/flags-sq-4/gha
302,2010,Argentina,0,4,Germany, ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,6.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
303,2010,Paraguay,0,1,Spain, ,31.0,Paraguay,https://api.fifa.com/api/v1/picture/flags-sq-4/par,2.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
304,2010,Uruguay,2,3,Netherlands, ,16.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,4.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
305,2010,Germany,0,1,Spain, ,6.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,2.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
306,2010,Uruguay,2,3,Germany, ,16.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,6.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
307,2010,Netherlands,0,1,Spain,Spain win after extra time ,4.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,2.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
308,2014,Brazil,3,1,Croatia, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,20.0,Croatia,https://api.fifa.com/api/v1/picture/flags-sq-4/cro
309,2014,Mexico,1,0,Cameroon, ,19.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex,50.0,Cameroon,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr
310,2014,Spain,1,5,Netherlands, ,1.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
311,2014,Chile,3,1,Australia, ,13.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,,,
312,2014,Colombia,3,0,Greece, ,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col,10.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
313,2014,Uruguay,1,3,Costa Rica, ,6.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc
314,2014,England,1,2,Italy, ,11.0,England,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,9.0,Italy,https://api.fifa.com/api/v1/picture/flags-sq-4/ita
315,2014,C�te d'Ivoire,2,1,Japan, ,,,,47.0,Japan,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn
316,2014,Switzerland,2,1,Ecuador, ,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,28.0,Ecuador,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu
317,2014,France,3,0,Honduras, ,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,30.0,Honduras,https://api.fifa.com/api/v1/picture/flags-sq-4/hon
318,2014,Argentina,2,1,"rn"">Bosnia and Herzegovina", ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,,,
319,2014,Germany,4,0,Portugal, ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,3.0,Portugal,https://api.fifa.com/api/v1/picture/flags-sq-4/por
320,2014,IR Iran,0,0,Nigeria, ,37.0,IR Iran,https://api.fifa.com/api/v1/picture/flags-sq-4/irn,44.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga
321,2014,Ghana,1,2,USA, ,38.0,Ghana,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,14.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa
322,2014,Belgium,2,1,Algeria, ,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,25.0,Algeria,https://api.fifa.com/api/v1/picture/flags-sq-4/alg
323,2014,Brazil,0,0,Mexico, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,19.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
324,2014,Russia,1,1,Korea Republic, ,18.0,Russia,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,,,
325,2014,Australia,2,3,Netherlands, ,,,,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
326,2014,Spain,0,2,Chile, ,1.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,13.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
327,2014,Cameroon,0,4,Croatia, ,50.0,Cameroon,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,20.0,Croatia,https://api.fifa.com/api/v1/picture/flags-sq-4/cro
328,2014,Colombia,2,1,C�te d'Ivoire, ,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col,,,
329,2014,Uruguay,2,1,England, ,6.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,11.0,England,https://api.fifa.com/api/v1/picture/flags-sq-4/eng
330,2014,Japan,0,0,Greece, ,47.0,Japan,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn,10.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
